symbol,description,exchange,listedMarket,securityType
EUA#C,EUROPEAN CARBON ALLOWANCE Continuous Backadjusted,EEXE,EEXE,FUTURE
EUA#,EUROPEAN CARBON ALLOWANCE Continuous,EEXE,EEXE,FUTURE
EUAN25,EUROPEAN CARBON ALLOWANCE July 2025,EEXE,EEXE,FUTURE
EUAQ25,EUROPEAN CARBON ALLOWANCE August 2025,EEXE,EEXE,FUTURE
EUAU25,EUROPEAN CARBON ALLOWANCE September 2025,EEXE,EEXE,FUTURE
EUAZ25,EUROPEAN CARBON ALLOWANCE December 2025,EEXE,EEXE,FUTURE
EUAH26,EUROPEAN CARBON ALLOWANCE March 2026,EEXE,EEXE,FUTURE
EUAM26,EUROPEAN CARBON ALLOWANCE June 2026,EEXE,EEXE,FUTURE
EUAN26,EUROPEAN CARBON ALLOWANCE July 2026,EEXE,EEXE,FUTURE
EUAQ26,EUROPEAN CARBON ALLOWANCE August 2026,EEXE,EEXE,FUTURE
EUAU26,EUROPEAN CARBON ALLOWANCE September 2026,EEXE,EEXE,FUTURE
EUAZ26,EUROPEAN CARBON ALLOWANCE December 2026,EEXE,EEXE,FUTURE
EUAH27,EUROPEAN CARBON ALLOWANCE March 2027,EEXE,EEXE,FUTURE
EUAM27,EUROPEAN CARBON ALLOWANCE June 2027,EEXE,EEXE,FUTURE
EUAN27,EUROPEAN CARBON ALLOWANCE July 2027,EEXE,EEXE,FUTURE
EUAQ27,EUROPEAN CARBON ALLOWANCE August 2027,EEXE,EEXE,FUTURE
EUAU27,EUROPEAN CARBON ALLOWANCE September 2027,EEXE,EEXE,FUTURE
EUAZ27,EUROPEAN CARBON ALLOWANCE December 2027,EEXE,EEXE,FUTURE
EUAH28,EUROPEAN CARBON ALLOWANCE March 2028,EEXE,EEXE,FUTURE
EUAM28,EUROPEAN CARBON ALLOWANCE June 2028,EEXE,EEXE,FUTURE
EUAZ28,EUROPEAN CARBON ALLOWANCE December 2028,EEXE,EEXE,FUTURE
EUAZ29,EUROPEAN CARBON ALLOWANCE December 2029,EEXE,EEXE,FUTURE
EUAZ30,EUROPEAN CARBON ALLOWANCE December 2030,EEXE,EEXE,FUTURE
EUAZ31,EUROPEAN CARBON ALLOWANCE December 2031,EEXE,EEXE,FUTURE
EUAZ32,EUROPEAN CARBON ALLOWANCE December 2032,EEXE,EEXE,FUTURE
EUAZ33,EUROPEAN CARBON ALLOWANCE December 2033,EEXE,EEXE,FUTURE
