symbol,description,exchange,listedMarket,securityType
@BAB01Q25,BTIC ON BITCOIN FRIDAY FUTURES VS BRRAP August 01 2025,CME,CME_GBX,DAILY_FUTURE
@BAB08Q25,BTIC ON BITCOIN FRIDAY FUTURES VS BRRAP August 08 2025,CME,CME_GBX,DAILY_FUTURE
@BFF25N25,BITCOIN FRIDAY FUTURES July 25 2025,CME,CME_GBX,DAILY_FUTURE
@BFF01Q25,BITCOIN FRIDAY FUTURES August 01 2025,CME,CME_GBX,DAILY_FUTURE
@BFF08Q25,BITCOIN FRIDAY FUTURES August 08 2025,CME,CME_GBX,DAILY_FUTURE
@BLB01Q25,BTIC ON BITCOIN FRIDAY FUTURES VS BRR August 01 2025,CME,CME_GBX,DAILY_FUTURE
@EQ115Q25,TACO ON E-MINI S&P 500 August 15 2025,CME,CMEMINI,DAILY_FUTURE
@EQ119U25,TACO ON E-MINI S&P 500 September 19 2025,CME,CMEMINI,DAILY_FUTURE
@EQ117V25,TACO ON E-MINI S&P 500 October 17 2025,CME,CMEMINI,DAILY_FUTURE
@ES128N25,NEARBY BTIC ON E-MINI S&P 500 July 28 2025,CME,CME_GBX,DAILY_FUTURE
@ES130N25,NEARBY BTIC ON E-MINI S&P 500 July 30 2025,CME,CME_GBX,DAILY_FUTURE
@ES101Q25,NEARBY BTIC ON E-MINI S&P 500 August 01 2025,CME,CME_GBX,DAILY_FUTURE
@ES104Q25,NEARBY BTIC ON E-MINI S&P 500 August 04 2025,CME,CME_GBX,DAILY_FUTURE
@ES106Q25,NEARBY BTIC ON E-MINI S&P 500 August 06 2025,CME,CME_GBX,DAILY_FUTURE
@ES108Q25,NEARBY BTIC ON E-MINI S&P 500 August 08 2025,CME,CME_GBX,DAILY_FUTURE
@ES115Q25,NEARBY BTIC ON E-MINI S&P 500 August 15 2025,CME,CME_GBX,DAILY_FUTURE
@ES228N25,DEFERRED BTIC ON E-MINI S&P 500 July 28 2025,CME,CME_GBX,DAILY_FUTURE
@ES230N25,DEFERRED BTIC ON E-MINI S&P 500 July 30 2025,CME,CME_GBX,DAILY_FUTURE
@ES201Q25,DEFERRED BTIC ON E-MINI S&P 500 August 01 2025,CME,CME_GBX,DAILY_FUTURE
