symbol,description,exchange,listedMarket,securityType
@RCTX25-@RCTF26,CANOLA TAS Nov 25/Jan 26,ICEFC,ICEFC,SPREAD
@RCTX25-@RCTH26,CANOLA TAS Nov 25/Mar 26,ICEFC,ICEFC,SPREAD
@RCTF26-@RCTH26,CANOLA TAS Jan 26/Mar 26,ICEFC,ICEFC,SPREAD
@RSX25-@RSF26,CANOLA Nov 25/Jan 26,ICEFC,ICEFC,SPREAD
@RSX25-@RSH26,CANOLA Nov 25/Mar 26,ICEFC,ICEFC,SPREAD
@RSX25-@RSK26,CANOLA Nov 25/May 26,ICEFC,ICEFC,SPREAD
@RSX25-@RSN26,CANOLA Nov 25/Jul 26,ICEFC,ICEFC,SPREAD
@RSX25-@RSX26,CANOLA Nov 25/Nov 26,ICEFC,ICEFC,SPREAD
@RSX25-@RSF27,CANOLA Nov 25/Jan 27,ICEFC,ICEFC,SPREAD
@RSX25-@RSH27,CANOLA Nov 25/Mar 27,ICEFC,ICEFC,SPREAD
@RSX25-@RSK27,CANOLA Nov 25/May 27,ICEFC,ICEFC,SPREAD
@RSX25-@RSN27,CANOLA Nov 25/Jul 27,ICEFC,ICEFC,SPREAD
@RSX25-@RSX27,CANOLA Nov 25/Nov 27,ICEFC,ICEFC,SPREAD
@RSF26-@RSH26,CANOLA Jan 26/Mar 26,ICEFC,ICEFC,SPREAD
@RSF26-@RSK26,CANOLA Jan 26/May 26,ICEFC,ICEFC,SPREAD
@RSF26-@RSN26,CANOLA Jan 26/Jul 26,ICEFC,ICEFC,SPREAD
@RSF26-@RSX26,CANOLA Jan 26/Nov 26,ICEFC,ICEFC,SPREAD
@RSF26-@RSF27,CANOLA Jan 26/Jan 27,ICEFC,ICEFC,SPREAD
@RSF26-@RSH27,CANOLA Jan 26/Mar 27,ICEFC,ICEFC,SPREAD
@RSF26-@RSK27,CANOLA Jan 26/May 27,ICEFC,ICEFC,SPREAD
@RSF26-@RSN27,CANOLA Jan 26/Jul 27,ICEFC,ICEFC,SPREAD
@RSF26-@RSX27,CANOLA Jan 26/Nov 27,ICEFC,ICEFC,SPREAD
@RSH26-@RSK26,CANOLA Mar 26/May 26,ICEFC,ICEFC,SPREAD
@RSH26-@RSN26,CANOLA Mar 26/Jul 26,ICEFC,ICEFC,SPREAD
@RSH26-@RSX26,CANOLA Mar 26/Nov 26,ICEFC,ICEFC,SPREAD
@RSH26-@RSF27,CANOLA Mar 26/Jan 27,ICEFC,ICEFC,SPREAD
@RSH26-@RSH27,CANOLA Mar 26/Mar 27,ICEFC,ICEFC,SPREAD
@RSH26-@RSK27,CANOLA Mar 26/May 27,ICEFC,ICEFC,SPREAD
@RSH26-@RSN27,CANOLA Mar 26/Jul 27,ICEFC,ICEFC,SPREAD
@RSH26-@RSX27,CANOLA Mar 26/Nov 27,ICEFC,ICEFC,SPREAD
@RSK26-@RSN26,CANOLA May 26/Jul 26,ICEFC,ICEFC,SPREAD
@RSK26-@RSX26,CANOLA May 26/Nov 26,ICEFC,ICEFC,SPREAD
@RSK26-@RSF27,CANOLA May 26/Jan 27,ICEFC,ICEFC,SPREAD
@RSK26-@RSH27,CANOLA May 26/Mar 27,ICEFC,ICEFC,SPREAD
@RSK26-@RSK27,CANOLA May 26/May 27,ICEFC,ICEFC,SPREAD
@RSK26-@RSN27,CANOLA May 26/Jul 27,ICEFC,ICEFC,SPREAD
@RSK26-@RSX27,CANOLA May 26/Nov 27,ICEFC,ICEFC,SPREAD
@RSN26-@RSX26,CANOLA Jul 26/Nov 26,ICEFC,ICEFC,SPREAD
@RSN26-@RSF27,CANOLA Jul 26/Jan 27,ICEFC,ICEFC,SPREAD
@RSN26-@RSH27,CANOLA Jul 26/Mar 27,ICEFC,ICEFC,SPREAD
@RSN26-@RSK27,CANOLA Jul 26/May 27,ICEFC,ICEFC,SPREAD
@RSN26-@RSN27,CANOLA Jul 26/Jul 27,ICEFC,ICEFC,SPREAD
@RSN26-@RSX27,CANOLA Jul 26/Nov 27,ICEFC,ICEFC,SPREAD
@RSX26-@RSF27,CANOLA Nov 26/Jan 27,ICEFC,ICEFC,SPREAD
@RSX26-@RSH27,CANOLA Nov 26/Mar 27,ICEFC,ICEFC,SPREAD
@RSX26-@RSK27,CANOLA Nov 26/May 27,ICEFC,ICEFC,SPREAD
@RSX26-@RSN27,CANOLA Nov 26/Jul 27,ICEFC,ICEFC,SPREAD
@RSX26-@RSX27,CANOLA Nov 26/Nov 27,ICEFC,ICEFC,SPREAD
@RSF27-@RSH27,CANOLA Jan 27/Mar 27,ICEFC,ICEFC,SPREAD
@RSF27-@RSK27,CANOLA Jan 27/May 27,ICEFC,ICEFC,SPREAD
@RSF27-@RSN27,CANOLA Jan 27/Jul 27,ICEFC,ICEFC,SPREAD
@RSF27-@RSX27,CANOLA Jan 27/Nov 27,ICEFC,ICEFC,SPREAD
@RSH27-@RSK27,CANOLA Mar 27/May 27,ICEFC,ICEFC,SPREAD
@RSH27-@RSN27,CANOLA Mar 27/Jul 27,ICEFC,ICEFC,SPREAD
@RSH27-@RSX27,CANOLA Mar 27/Nov 27,ICEFC,ICEFC,SPREAD
@RSK27-@RSN27,CANOLA May 27/Jul 27,ICEFC,ICEFC,SPREAD
@RSK27-@RSX27,CANOLA May 27/Nov 27,ICEFC,ICEFC,SPREAD
@RSN27-@RSX27,CANOLA Jul 27/Nov 27,ICEFC,ICEFC,SPREAD
